DistanceGroup,percentage
1,0.5644837414094587
2,0.5524500162522421
3,0.5423182678162718
4,0.545430689400957
5,0.547017139188874
6,0.5480111283552228
7,0.5521951401837523
8,0.5402587095736161
9,0.5460214402108845
10,0.5448116153770951
11,0.5343496346912973
12,0.5555007729540646
13,0.5466533748475082
14,0.5699809774656132
15,0.5610202964760749
16,0.4393708777270421
17,0.546841334137723
18,0.5037000493339912
19,0.576649060312001
20,0.5309648117492254
21,0.5611860684028868
22,0.5928038206519219
23,0.5369598443796026
25,0.578656853725851
